No,Komponen/Pernyataan,Skala Penilaian
1,Saya berpikir akan menggunakan sistem ini lagi.,1 2 3 4 5
2,Saya merasa sistem ini rumit untuk digunakan.,1 2 3 4 5
3,Saya merasa sistem ini mudah digunakan.,1 2 3 4 5
4,Saya membutuhkan bantuan dari orang lain atau teknisi dalam menggunakan sistem ini.,1 2 3 4 5
5,Saya merasa fitur-fitur sistem ini berjalan dengan semestinya.,1 2 3 4 5
6,Saya merasa ada banyak hal yang tidak konsisten pada sistem ini.,1 2 3 4 5
7,Saya merasa orang lain akan memahami cara menggunakan sistem ini dengan cepat.,1 2 3 4 5
8,Saya merasa sistem ini membingungkan.,1 2 3 4 5
9,Saya merasa tidak ada hambatan dalam menggunakan sistem ini.,1 2 3 4 5
10,Saya perlu membiasakan diri terlebih dahulu sebelum menggunakan sistem ini.,1 2 3 4 5
