Test ID,Rincian Pengujian,Hasil yang Diharapkan,Hasil Pengujian,Status
D01,Pengujian pencarian member aktif.,Sistem menampilkan data member sesuai kata kunci.,Sistem berhasil menampilkan data member yang sesuai.,Valid
D02,Pengujian pencarian member dengan kata kunci kosong.,Sistem menampilkan daftar kosong tanpa error.,Sistem berhasil menampilkan daftar kosong.,Valid
D03,Pengujian pencarian member yang tidak ditemukan.,Sistem menampilkan data kosong.,Sistem berhasil menampilkan data kosong.,Valid
D04,Pengujian validasi QR code member valid.,Sistem menampilkan data member berdasarkan QR code.,Sistem berhasil menampilkan data member sesuai QR code.,Valid
D05,Pengujian validasi QR code tidak valid.,Sistem menolak QR code dan menampilkan pesan kesalahan.,Sistem menolak QR code tidak valid.,Valid
D06,Pengujian check-in member aktif.,Sistem membuat data arrivals dengan status active.,Sistem berhasil membuat data kedatangan member.,Valid
D07,Pengujian check-in member yang sudah check-in hari ini.,Sistem menolak check-in ulang.,Sistem berhasil menolak check-in ulang.,Valid
D08,Pengujian check-in member tidak aktif.,Sistem menolak check-in member.,Sistem menampilkan pesan member tidak aktif.,Valid
D09,Pengujian check-in member dengan member_id kosong.,Sistem menolak input dan menampilkan validasi.,Sistem menampilkan validasi data member.,Valid
D10,Pengujian check-in tamu dengan nama valid.,Sistem membuat data tamu pada arrivals dengan deposit.,Sistem berhasil membuat data kedatangan tamu.,Valid
D11,Pengujian check-in tamu dengan nama kosong.,Sistem menolak input dan menampilkan validasi nama tamu.,Sistem menampilkan validasi nama tamu.,Valid
D12,Pengujian daftar kedatangan hari ini.,Sistem menampilkan data member dan tamu pada hari berjalan.,Sistem berhasil menampilkan daftar kedatangan hari ini.,Valid
D13,Pengujian pencarian data kedatangan aktif.,Sistem menampilkan data kedatangan sesuai kata kunci.,Sistem berhasil menampilkan data kedatangan aktif.,Valid
D14,Pengujian check-out kedatangan aktif.,Sistem mengubah status kedatangan menjadi completed.,Sistem berhasil melakukan check-out kedatangan.,Valid
D15,Pengujian check-out data kedatangan yang tidak ditemukan.,Sistem menolak dan menampilkan pesan data tidak ditemukan.,Sistem menolak check-out karena data tidak ditemukan.,Valid
D16,Pengujian daftar menu pegawai.,Sistem menampilkan daftar menu.,Sistem berhasil menampilkan daftar menu pegawai.,Valid
